K,d,h,J
15,2,0.05,0.0015855464433803287
30,2,0.2,0.0016693171690129293
30,3,0.3,0.0022124734270903296
30,2,0.1,0.0032627632119357243
15,3,0.05,0.003413618163638106
10,4,0.1,0.0040858034631558356
20,3,0.2,0.004981080021497863
20,2,0.1,0.005384442901027018
15,4,0.05,0.00700109036432584
10,3,0.1,0.007155194162326691
15,4,0.2,0.008182709602280312
10,2,0.2,0.008358959216454527
30,2,0.05,0.009465308886648371
10,2,0.05,0.010829724867194062
10,4,0.2,0.013517359342985062
20,3,0.05,0.23470496032012864
20,4,0.2,0.25356000751798236
10,3,0.05,0.25535645654297306
20,4,0.05,0.32046658332585964
15,2,0.1,0.9355516985329723
15,4,0.3,105.37900872817426
23,3,0.05,10.669219659973095
10,4,0.05,10.785376607095106
23,4,0.4,113628.87598392795
30,4,0.1,11.919809318075927
30,4,0.4,1198.848322821502
30,3,0.05,1.2179639927112713
30,3,0.2,12.478472071796483
23,3,0.1,1.3156710777032807
23,2,0.05,13.27626545374284
15,4,0.4,138.32685610939433
30,2,0.3,138.54977374915583
15,3,0.1,13.965615738513199
30,4,0.05,14.17434228518237
30,2,0.4,1455.1821460080935
23,4,0.2,145.57151205594647
15,4,0.1,14.569385927485172
23,2,0.4,1532.7728872681648
15,2,0.4,1577.5453558661923
20,4,0.1,15.891089083312048
10,3,0.2,16.313048757391826
15,2,0.3,188.3853892298144
10,3,0.4,1947.2307896679602
23,4,0.05,2.0164335583949904
23,3,0.4,21356.783364416595
10,4,0.4,217.34699619277686
10,4,0.3,22.445007325395295
20,3,0.1,26.14528883994364
23,2,0.1,29.248177313697177
15,2,0.2,29.851789283679608
20,2,0.4,31.816049035611233
10,3,0.3,3.446208370858735
20,2,0.2,35.16625945329906
20,4,0.3,36.658409147991705
30,4,0.2,37.530958659783046
10,2,0.3,37.690031096732326
15,3,0.2,37.92369893952919
30,3,0.4,38.52797889733775
23,3,0.2,39.34569382714384
20,2,0.3,4.238437064722046
10,2,0.1,4.242830143931717
23,2,0.3,434.51406740614897
20,4,0.4,47056.90948982205
23,4,0.1,4.83621864422994
23,2,0.2,4.882478235080525
15,3,0.3,49.77388522893048
23,4,0.3,59.57190969383066
20,3,0.4,65752.20187373798
23,3,0.3,6931.3449106549115
30,4,0.3,7.122318595780157
30,3,0.1,7.433492657352814
20,2,0.05,7.629773468576849
15,3,0.4,7.930911504220591
20,3,0.3,79.53569488128855
10,2,0.4,894.7536095474347
